nconst,primaryName
nm0000001,Fred Astaire
nm0000002,Lauren Bacall
nm0000003,Brigitte Bardot
nm0000004,John Belushi
nm0000005,Ingmar Bergman
nm0000006,Ingrid Bergman
nm0000007,Humphrey Bogart
nm0000008,Marlon Brando
nm0000009,Richard Burton
nm0000010,James Cagney
nm0000011,Gary Cooper
nm0000012,Bette Davis
nm0000013,Doris Day
nm0000014,Olivia de Havilland
nm0000015,James Dean
nm0000017,Marlene Dietrich
nm0000018,Kirk Douglas
nm0000020,Henry Fonda
nm0000021,Joan Fontaine
nm0000022,Clark Gable
nm0000023,Judy Garland
nm0000024,John Gielgud
nm0000026,Cary Grant
nm0000027,Alec Guinness
nm0000028,Rita Hayworth
nm0000030,Audrey Hepburn
nm0000031,Katharine Hepburn
nm0000032,Charlton Heston
nm0000033,Alfred Hitchcock
nm0000034,William Holden
nm0000036,Buster Keaton
nm0000037,Gene Kelly
nm0000038,Grace Kelly
nm0000039,Deborah Kerr
nm0000042,Alan Ladd
nm0000043,Veronica Lake
nm0000044,Burt Lancaster
nm0000045,Bruce Lee
nm0000046,Vivien Leigh
nm0000047,Sophia Loren
nm0000048,Peter Lorre
nm0000050,Groucho Marx
nm0000051,James Mason
nm0000052,Marcello Mastroianni
nm0000053,Robert Mitchum
nm0000054,Marilyn Monroe
nm0000056,Paul Newman
nm0000057,David Niven
nm0000058,Maureen O'Hara
nm0000059,Laurence Olivier
nm0000060,Gregory Peck
nm0000061,Tyrone Power
nm0000063,Anthony Quinn
nm0000064,Edward G. Robinson
nm0000066,Jane Russell
nm0000068,Randolph Scott
nm0000069,Frank Sinatra
nm0000071,James Stewart
nm0000072,Elizabeth Taylor
nm0000073,Shirley Temple
nm0000074,Gene Tierney
nm0000075,Spencer Tracy
nm0000076,François Truffaut
nm0000078,John Wayne
nm0000079,Raquel Welch
nm0000080,Orson Welles
nm0000081,Natalie Wood
nm0000084,Gong Li
nm0000086,Louis de Funès
nm0000090,Armin Mueller-Stahl
nm0000092,John Cleese
nm0000093,Brad Pitt
nm0000095,Woody Allen
nm0000096,Gillian Anderson
nm0000097,Pamela Anderson
nm0000098,Jennifer Aniston
nm0000099,Patricia Arquette
nm0000100,Rowan Atkinson
nm0000101,Dan Aykroyd
nm0000102,Kevin Bacon
nm0000103,Fairuza Balk
nm0000104,Antonio Banderas
nm0000105,Adrienne Barbeau
nm0000106,Drew Barrymore
nm0000107,Kim Basinger
nm0000109,Yasmine Bleeth
nm0000110,Kenneth Branagh
nm0000111,Matthew Broderick
nm0000112,Pierce Brosnan
nm0000113,Sandra Bullock
nm0000114,Steve Buscemi
nm0000115,Nicolas Cage
nm0000117,Neve Campbell
nm0000118,John Carpenter
nm0000119,Tia Carrere
nm0000120,Jim Carrey
nm0000121,Phoebe Cates
nm0000122,Charles Chaplin
nm0000123,George Clooney
nm0000124,Jennifer Connelly
nm0000125,Sean Connery
nm0000126,Kevin Costner
nm0000127,Wes Craven
nm0000128,Russell Crowe
nm0000129,Tom Cruise
nm0000130,Jamie Lee Curtis
nm0000131,John Cusack
nm0000132,Claire Danes
nm0000133,Geena Davis
nm0000134,Robert De Niro
nm0000135,John Denver
nm0000136,Johnny Depp
nm0000137,Bo Derek
nm0000138,Leonardo DiCaprio
nm0000139,Cameron Diaz
nm0000140,Michael Douglas
nm0000141,David Duchovny
nm0000142,Clint Eastwood
nm0000143,Erika Eleniak
nm0000144,Cary Elwes
nm0000145,Sherilyn Fenn
nm0000146,Ralph Fiennes
nm0000147,Colin Firth
nm0000148,Harrison Ford
nm0000149,Jodie Foster
nm0000150,Michael J. Fox
nm0000151,Morgan Freeman
nm0000152,Richard Gere
nm0000153,Gina Gershon
nm0000154,Mel Gibson
nm0000155,Whoopi Goldberg
nm0000156,Jeff Goldblum
nm0000157,Linda Hamilton
nm0000158,Tom Hanks
nm0000159,Teri Hatcher
nm0000160,Ethan Hawke
nm0000161,Salma Hayek
nm0000162,Anne Heche
nm0000163,Dustin Hoffman
nm0000164,Anthony Hopkins
nm0000165,Ron Howard
nm0000166,Helen Hunt
nm0000167,Elizabeth Hurley
nm0000168,Samuel L. Jackson
nm0000169,Tommy Lee Jones
nm0000170,Milla Jovovich
nm0000171,Ashley Judd
nm0000172,Harvey Keitel
nm0000173,Nicole Kidman
nm0000174,Val Kilmer
nm0000175,Stephen King
nm0000176,Nastassja Kinski
nm0000177,Kevin Kline
nm0000178,Diane Lane
nm0000179,Jude Law
nm0000181,Heather Locklear
nm0000182,Jennifer Lopez
nm0000183,Traci Lords
nm0000185,Dolph Lundgren
nm0000186,David Lynch
nm0000187,Madonna
nm0000188,Steve Martin
nm0000189,Jenny McCarthy-Wahlberg
nm0000190,Matthew McConaughey
nm0000191,Ewan McGregor
nm0000192,Alyssa Milano
nm0000193,Demi Moore
nm0000194,Julianne Moore
nm0000195,Bill Murray
nm0000196,Mike Myers
nm0000197,Jack Nicholson
nm0000198,Gary Oldman
nm0000199,Al Pacino
nm0000200,Bill Paxton
nm0000201,Michelle Pfeiffer
nm0000202,Ryan Phillippe
nm0000203,River Phoenix
nm0000204,Natalie Portman
nm0000205,Parker Posey
nm0000206,Keanu Reeves
nm0000207,Christina Ricci
nm0000208,Molly Ringwald
nm0000209,Tim Robbins
nm0000210,Julia Roberts
nm0000211,Mimi Rogers
nm0000212,Meg Ryan
nm0000213,Winona Ryder
nm0000214,Mia Sara
nm0000215,Susan Sarandon
nm0000216,Arnold Schwarzenegger
nm0000217,Martin Scorsese
nm0000218,Kristin Scott Thomas
nm0000219,Steven Seagal
nm0000220,Joan Severance
nm0000221,Charlie Sheen
nm0000222,Brooke Shields
nm0000223,Elisabeth Shue
nm0000224,Alicia Silverstone
nm0000225,Christian Slater
nm0000226,Will Smith
nm0000227,Mira Sorvino
nm0000228,Kevin Spacey
nm0000230,Sylvester Stallone
nm0000232,Sharon Stone
nm0000233,Quentin Tarantino
nm0000234,Charlize Theron
nm0000235,Uma Thurman
nm0000236,Jennifer Tilly
nm0000237,John Travolta
nm0000239,Liv Tyler
nm0000240,Skeet Ulrich
nm0000241,Jean-Claude Van Damme
nm0000242,Mark Wahlberg
nm0000243,Denzel Washington
nm0000244,Sigourney Weaver
nm0000245,Robin Williams
nm0000246,Bruce Willis
nm0000247,John Woo
nm0000248,Edward D. Wood Jr.
nm0000249,James Woods
nm0000250,Renée Zellweger
nm0000254,Isabelle Adjani
nm0000255,Ben Affleck
nm0000256,Jenny Agutter
nm0000257,Alan Alda
nm0000260,Joan Allen
nm0000261,Karen Allen
nm0000262,Nancy Allen
nm0000263,Kirstie Alley
nm0000266,Ursula Andress
nm0000267,Julie Andrews
nm0000268,Ann-Margret
nm0000270,Gabrielle Anwar
nm0000271,Anne Archer
nm0000272,Fanny Ardant
nm0000273,Alan Arkin
nm0000274,David Arquette
nm0000275,Rosanna Arquette
nm0000276,Sean Astin
nm0000277,Richard Attenborough
nm0000278,Pernilla August
nm0000279,Hank Azaria
nm0000280,Catherine Bach
nm0000281,Scott Baio
nm0000282,Scott Bairstow
nm0000283,Brenda Bakke
nm0000284,Adam Baldwin
nm0000285,Alec Baldwin
nm0000286,Stephen Baldwin
nm0000287,William Baldwin
nm0000288,Christian Bale
nm0000289,Ellen Barkin
nm0000291,Angela Bassett
nm0000293,Sean Bean
nm0000294,Amanda Bearse
nm0000295,Kate Beckinsale
nm0000296,Robert Beltran
nm0000297,Tom Berenger
nm0000298,Candice Bergen
nm0000299,Michael Biehn
nm0000300,Juliette Binoche
nm0000301,Thora Birch
nm0000302,Jacqueline Bisset
nm0000303,Honor Blackman
nm0000304,Linda Blair
nm0000305,Mel Blanc
nm0000306,Brian Blessed
nm0000307,Helena Bonham Carter
nm0000308,Ernest Borgnine
nm0000309,David Bowie
nm0000310,Bruce Boxleitner
nm0000312,Amy Brenneman
nm0000313,Jeff Bridges
nm0000314,Charles Bronson
nm0000315,Louise Brooks
nm0000316,Mel Brooks
nm0000317,Clancy Brown
nm0000319,Yancy Butler
nm0000321,Gabriel Byrne
nm0000322,Emmanuelle Béart
nm0000323,Michael Caine
nm0000324,Barbara Carrera
